meituan,ctrip,qunai,result
南京新街口和颐酒店,南京新街口和颐酒店,南京新街口和颐酒店,yes
熙顺酒店公寓(木马公寓店),熙顺酒店公寓(南京木马公寓店),南京熙顺酒店公寓珠江路木马公寓店,yes
儒家快捷酒店(成贤街店),南京儒家快捷酒店成贤街店,南京儒家快捷酒店成贤街店,yes
宇盟宾馆(夫子庙中华路店),南京宇盟宾馆,南京宇盟宾馆,yes
速8酒店(南京解放路店),速8酒店(南京解放路店),速8酒店南京解放路店,yes
中山陵青年旅舍(南京景区西店),南京中山陵青年旅舍,南京中山陵青年旅舍,yes
汉庭(南京夫子庙电视台店),汉庭酒店(南京电视台店),汉庭酒店南京电视台店,yes
汉庭(南京新街口户部街店),汉庭酒店(南京常府街店),汉庭酒店南京常府街店,yes
乐家旅馆(上海路南大店),南京乐家宾馆,南京乐家宾馆,yes
锦江之星(南京光华门店),锦江之星(南京光华门店),锦江之星酒店南京光华门店,yes
肯定宾馆(朝天宫店),南京传家酒店,南京传家酒店,yes
清风客青年旅社(夫子庙水游城店),清风客青年旅舍(南京夫子庙店),南京清风客青年旅舍夫子庙店,yes
尚豪快捷酒店(珠江路店),南京尚豪快捷酒店未来城店,南京尚豪快捷酒店未来城店,yes
国际青年酒店连锁(新街口朝天宫店),国际青年旅舍(南京朝天宫店),南京朝天宫国际青年旅舍,yes
清沐连锁酒店(南京丹凤街恒基公寓店),清沐连锁酒店(南京丹凤街恒基公寓店),清沐连锁酒店南京丹凤街恒基公寓店,yes
7天连锁酒店(南京鼓楼地铁站店),7天连锁酒店(南京鼓楼地铁站店),7天酒店南京鼓楼地铁站店,yes
如家酒店(南京江苏路店),如家快捷酒店(南京江苏路店),如家快捷酒店南京江苏路店,yes
南京慢跑鞋青年旅舍(夫子庙景区店),南京慢跑鞋青年旅社,南京慢跑鞋青年旅社,yes
儒家优选酒店(东南大学进香河店),儒家快捷酒店(南京进香河店),南京儒家快捷酒店进香河店,yes
国力商务宾馆(珠江路总统府店),国力宾馆(南京总统府店),南京国力宾馆总统府店,yes
